title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
Existence,Abbi Glines (Goodreads Author),'B006LFVZ8E,0068,Invalid Length (not 10 or 13 after cleaning)
Reckless,S.C. Stephens (Goodreads Author),'B0092PUTZK,0092,Invalid Length (not 10 or 13 after cleaning)
The Steps: 12 Secrets To Raising Happy and Successful Kids,"Andrew Watson (Goodreads Author), Charles Watson",'B07X21WZ5B,07215,Invalid Length (not 10 or 13 after cleaning)
Warbreaker,Brandon Sanderson (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
This Girl,Colleen Hoover (Goodreads Author),'B00BOVFLD0,000,Invalid Length (not 10 or 13 after cleaning)
Little Dorrit,"Charles Dickens, Stephen J. Wall (Editor), Helen Small (Editor)",,,Invalid Length (not 10 or 13 after cleaning)
Slave to Sensation,Nalini Singh (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Daddy-Long-Legs,Jean Webster,,,Invalid Length (not 10 or 13 after cleaning)
The Coincidence of Callie & Kayden,Jessica Sorensen (Goodreads Author),'B00ANDLC6K,006,Invalid Length (not 10 or 13 after cleaning)
A Gracious Enemy 'storytelleruk2019',Michael G. Kramer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"So Long, and Thanks for All the Fish",Douglas Adams,'B001OF5F1E,00151,Invalid Length (not 10 or 13 after cleaning)
Tangled,Emma Chase (Goodreads Author),'B00DJWV11I,0011,Invalid Length (not 10 or 13 after cleaning)
Making Faces,Amy Harmon (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Oranges Are Not the Only Fruit,Jeanette Winterson,,,Invalid Length (not 10 or 13 after cleaning)
Sphere,Michael Crichton,,,Invalid Length (not 10 or 13 after cleaning)
Stones (One True Child #5),L.C. Conn (Goodreads Author),'B07NDB7LQ5,0775,Invalid Length (not 10 or 13 after cleaning)
Baby,J.K. Accinni,'B0092PLG16,009216,Invalid Length (not 10 or 13 after cleaning)
Percy Jackson's Greek Gods,"Rick Riordan (Goodreads Author), John Rocco (Illustrator)",'B00HVMAS0W,000,Invalid Length (not 10 or 13 after cleaning)
Mission: Subhero,Linda Armstrong (Goodreads Author),'B0735GD1L3,073513,Invalid Length (not 10 or 13 after cleaning)
No Exit and Three Other Plays,"Jean-Paul Sartre, Stuart Gilbert (Translator), Lionel Abel (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Take My Heart,J.J. Sorel (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Seduced in the Dark,C.J. Roberts (Goodreads Author),'B0094KFM9Q,00949,Invalid Length (not 10 or 13 after cleaning)
The Great Alone,Kristin Hannah (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Seraphina,Rachel Hartman (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Monstrous Regiment,Terry Pratchett,,,Invalid Length (not 10 or 13 after cleaning)
At Swim-Two-Birds,"Flann O'Brien, William H. Gass (Introduction)",,,Invalid Length (not 10 or 13 after cleaning)
Om Chanting and Meditation,Amit Ray,'B003XKNWCM,003,Invalid Length (not 10 or 13 after cleaning)
Maybe Someday,Colleen Hoover (Goodreads Author),'B00DPM7RJW,007,Invalid Length (not 10 or 13 after cleaning)
Five Feet Apart,"Rachael Lippincott (Goodreads Author), Mikki Daughtry (Goodreads Author) (Contributor), Tobias Iaconis (Goodreads Author) (Contributor), فاطمه صبحی (translator)",,,Invalid Length (not 10 or 13 after cleaning)
Scars and Voices: And Other Stories,Adam Carpenter Welles,'B07N33PP4M,07334,Invalid Length (not 10 or 13 after cleaning)
My Brilliant Friend,"Elena Ferrante, Ann Goldstein (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Alice's Adventures in Wonderland,Lewis Carroll,'B000JQV3QA,0003,Invalid Length (not 10 or 13 after cleaning)
A Summer of Good-Byes (Blue Triangle Press Book 2),Fred Misurella (Goodreads Author),'B06XY6CP6F,0666,Invalid Length (not 10 or 13 after cleaning)
Love on the Line,Kirsten Fullmer (Goodreads Author),'B071XCLL84,07184,Invalid Length (not 10 or 13 after cleaning)
Trickster's Choice,Tamora Pierce (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
In Farleigh Field,Rhys Bowen (Goodreads Author),'B01HBKAYMA,01,Invalid Length (not 10 or 13 after cleaning)
The Discovery of Heaven,"Harry Mulisch, Paul Vincent (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
This Man Confessed,Jodi Ellen Malpas (Goodreads Author),'B00C102T2Y,001022,Invalid Length (not 10 or 13 after cleaning)
Don't Close Your Eyes,Lynessa Layne (Goodreads Author),'B08C36B91H,083691,Invalid Length (not 10 or 13 after cleaning)
The Sweetness at the Bottom of the Pie,Alan Bradley (Goodreads Author),'B0027G6XDS,00276,Invalid Length (not 10 or 13 after cleaning)
"Africa's Child (Dancing Soul Trilogy, #1)",Maria Nhambu (Goodreads Author),'B01EIOKBFW,01,Invalid Length (not 10 or 13 after cleaning)
A Widow for One Year,John Irving (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Circle of Five,Jan Raymond (Goodreads Author),'B00H6LS59E,00659,Invalid Length (not 10 or 13 after cleaning)
The Fifth Season,N.K. Jemisin (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Brighton Rock,"Graham Greene, J.M. Coetzee (Introduction)",,,Invalid Length (not 10 or 13 after cleaning)
Prince of Wolves,Quinn Loftis (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Hairspray and Lighter,J. Jupes (Goodreads Author),'B07KJYKZ5K,075,Invalid Length (not 10 or 13 after cleaning)
Trickster's Queen,Tamora Pierce (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Legend,David Gemmell,,,Invalid Length (not 10 or 13 after cleaning)
The Immortals of Meluha,Amish Tripathi (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Siege and Storm,Leigh Bardugo (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Darkly Dreaming Dexter,Jeff Lindsay (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Nutshell,Ian McEwan,,,Invalid Length (not 10 or 13 after cleaning)
Captive Prince: Volume Two,C.S. Pacat (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Blood Song,Anthony Ryan (Goodreads Author),'B0070NSPCU,0070,Invalid Length (not 10 or 13 after cleaning)
In the Woods,Tana French (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
An Echo in the Darkness,Francine Rivers (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Stillhouse Lake,Rachel Caine (Goodreads Author),'B01MFGX5GI,015,Invalid Length (not 10 or 13 after cleaning)
The Baron in the Trees,"Italo Calvino, Archibald Colquhoun (Translator), Ana Goldstein (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
The Ghost Moth (The Red Grouse Tales),Leslie Garland (Goodreads Author),'B08D6QNWWK,086,Invalid Length (not 10 or 13 after cleaning)
Becoming,Michelle Obama (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Elsewhere,Gabrielle Zevin (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Lost Colony,Eoin Colfer,,,Invalid Length (not 10 or 13 after cleaning)
Bird Box,Josh Malerman (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
A Merciful Truth,Kendra Elliot (Goodreads Author),'B01MQ2HAAJ,012,Invalid Length (not 10 or 13 after cleaning)
The Woman in the Window,A.J. Finn,,,Invalid Length (not 10 or 13 after cleaning)
Alexander Crowley - A New King in Town,Don Barr,'B079GRVRN5,0795,Invalid Length (not 10 or 13 after cleaning)
A Merciful Death,Kendra Elliot (Goodreads Author),'B01EN506CO,01506,Invalid Length (not 10 or 13 after cleaning)
Memories Of My Future,"Ammar Habib (Goodreads Author), Anil Sinha",'B01J67SEK0,01670,Invalid Length (not 10 or 13 after cleaning)
Rule,Jay Crownover (Goodreads Author),'B00AV8725C,008725,Invalid Length (not 10 or 13 after cleaning)
Temple of the Winds,"Terry Goodkind, Dick Hill (Narrator), Ferhan Ertürk (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Captive Prince,C.S. Pacat (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Beneath This Man,Jodi Ellen Malpas (Goodreads Author),'B00DB7RDR2,0072,Invalid Length (not 10 or 13 after cleaning)
"Theory of People: Understanding Behaviors, Business, Economics, Feelings, and the Mind",Jakub Lasak (Goodreads Author),'B08GKJ7TTX,087,Invalid Length (not 10 or 13 after cleaning)
The Arctic Incident,"Eoin Colfer, Sian Melangell Dafydd (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Her Final Breath,Robert Dugoni (Goodreads Author),'B00TEFTA80,0080,Invalid Length (not 10 or 13 after cleaning)
Library of Souls,Ransom Riggs,'B00RKX364M,00364,Invalid Length (not 10 or 13 after cleaning)
Complicated Moonlight,Lynessa Layne (Goodreads Author),'B08H1JHDJN,081,Invalid Length (not 10 or 13 after cleaning)
Lost Horizon,James Hilton,'B007JCZGOC,007,Invalid Length (not 10 or 13 after cleaning)
Close to Home,Robert Dugoni (Goodreads Author),'B01MU7ZZJV,017,Invalid Length (not 10 or 13 after cleaning)
The Lincoln Lawyer,Michael Connelly (Goodreads Author),'B000FCKG1G,0001,Invalid Length (not 10 or 13 after cleaning)
Let it Snow,"John Green (Goodreads Author), Maureen Johnson (Goodreads Author), Lauren Myracle",,,Invalid Length (not 10 or 13 after cleaning)
Perfect,Tricia Copeland (Goodreads Author),'B07XZC9Q7N,0797,Invalid Length (not 10 or 13 after cleaning)
Snow,"Orhan Pamuk, Maureen Freely (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Savvy Sage Online,Richard Sprout (Goodreads Author),'B08BF627Q9,086279,Invalid Length (not 10 or 13 after cleaning)
Neverseen,Shannon Messenger (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Ramonst,A.F. Knott (Goodreads Author),'B01N8W8OFC,0188,Invalid Length (not 10 or 13 after cleaning)
Beartown,"Fredrik Backman (Goodreads Author), Neil Smith (Translator)",'B01LLXCGWY,01,Invalid Length (not 10 or 13 after cleaning)
Taking Chances,Molly McAdams (Goodreads Author),'B00951B4SC,009514,Invalid Length (not 10 or 13 after cleaning)
The Infinite Sea,Rick Yancey,'B00E8OLIXM,008,Invalid Length (not 10 or 13 after cleaning)
Fruzzle's Mystery Talent: A Bed Time Fantasy Story for Children ages 3-10,"Karen (Kara) Brueggeman (Goodreads Author), Briana Paddock, Bryan Brueggeman (Illustrator)",'B00FPR99QE,0099,Invalid Length (not 10 or 13 after cleaning)
The Change in the Mirror,B.Q. Hanson (Goodreads Author),'B088G282B5,0882825,Invalid Length (not 10 or 13 after cleaning)
The Well House III: The Redemption,M.S. Matassa (Goodreads Author),'B07ZZMJ7NZ,077,Invalid Length (not 10 or 13 after cleaning)
Thief,Tarryn Fisher (Goodreads Author),'B00E2VJVGW,002,Invalid Length (not 10 or 13 after cleaning)
The Meat Market,James Chalk (Goodreads Author),'B00GFC8BPI,008,Invalid Length (not 10 or 13 after cleaning)
End of Days,Susan Ee (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Orphan Train,Christina Baker Kline (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Homeland,R.A. Salvatore,,,Invalid Length (not 10 or 13 after cleaning)
Never Never,"Colleen Hoover (Goodreads Author), Tarryn Fisher (Goodreads Author)",'B00RZVNDSS,00,Invalid Length (not 10 or 13 after cleaning)
"Rabbit, Run",John Updike,'B003WUYR5E,0035,Invalid Length (not 10 or 13 after cleaning)
The Deal,Elle Kennedy (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Midnight Sacrifice,Melinda Leigh (Goodreads Author),'B009EWCLHA,009,Invalid Length (not 10 or 13 after cleaning)
Crashing Down to Earth,Terry Reid (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Olive Kitteridge,Elizabeth Strout,,,Invalid Length (not 10 or 13 after cleaning)
Fool's Errand,Robin Hobb (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Night Embrace,Sherrilyn Kenyon (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Snow Child,Eowyn Ivey (Goodreads Author),'B004RD856M,004856,Invalid Length (not 10 or 13 after cleaning)
The V Girl: A Coming Of Age Story,Mya Robarts,'B00L6MFXWG,006,Invalid Length (not 10 or 13 after cleaning)
Diya aur baati hum,Snehlata Agarwala (Goodreads Author),'B085W9DRKK,0859,Invalid Length (not 10 or 13 after cleaning)
Bestowed,Snehlata Agarwala (Goodreads Author),'B07XJ2DBZV,072,Invalid Length (not 10 or 13 after cleaning)
Heir to the Empire,Timothy Zahn (Goodreads Author),'B00513HX7Y,005137,Invalid Length (not 10 or 13 after cleaning)
Secrets of the Realm,Bev Stout (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Fallen Crest High,Tijan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,'B00IHMEAYK,00,Invalid Length (not 10 or 13 after cleaning)
A Gallery of Mothers,"J.S. Latshaw, Jason Latshaw (Goodreads Author)",'B089G941HX,089941,Invalid Length (not 10 or 13 after cleaning)
The Autobiography of Malcolm X,"Malcolm X, Alex Haley",,,Invalid Length (not 10 or 13 after cleaning)
The Sugar Queen,Sarah Addison Allen (Goodreads Author),'B00125MK78,0012578,Invalid Length (not 10 or 13 after cleaning)
The Red Hand,Michael Stephen Daigle (Goodreads Author),'B07TV94SKZ,0794,Invalid Length (not 10 or 13 after cleaning)
Finding Cinderella,Colleen Hoover (Goodreads Author),'B00FNWRSCI,00,Invalid Length (not 10 or 13 after cleaning)
Red Seas Under Red Skies,Scott Lynch (Goodreads Author),'B000UDNBS0,0000,Invalid Length (not 10 or 13 after cleaning)
The Lover,"Marguerite Duras, Barbara Bray (Translator), Maxine Hong Kingston (Introduction)",,,Invalid Length (not 10 or 13 after cleaning)
Driven,K. Bromberg (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Ruin and Rising,Leigh Bardugo (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Midnight Exposure,Melinda Leigh (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
One of Us Is Lying,Karen M. McManus (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Dreams of Winter,Christian Warren Freed (Goodreads Author),'B0794D68MX,079468,Invalid Length (not 10 or 13 after cleaning)
The Guns of August,Barbara W. Tuchman,'B002TXZS8A,0028,Invalid Length (not 10 or 13 after cleaning)
100 Bible Facts About Jesus: The Exciting way to Learn,Ginger Baum,'B07XGFCBJX,07,Invalid Length (not 10 or 13 after cleaning)
"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,'B005IHWBSY,005,Invalid Length (not 10 or 13 after cleaning)
Wool,"Hugh Howey (Goodreads Author), Minnie Goode (Narrator)",'B005FC52L0,005520,Invalid Length (not 10 or 13 after cleaning)
The Myth of Sisyphus and Other Essays,"Albert Camus, Justin O'Brien (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
"Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC (Back When Phones Weren't So Smart)",Zack Love (Goodreads Author),'B00G2JM0D8,00208,Invalid Length (not 10 or 13 after cleaning)
100 Fun Bible Facts: The Exciting way to Learn (100 Bible Facts Book 1),Ginger Baum,'B07QJD68WQ,0768,Invalid Length (not 10 or 13 after cleaning)
Raw,Belle Aurora (Goodreads Author),'B00HNG4AB4,0044,Invalid Length (not 10 or 13 after cleaning)
Time Enough for Love,Robert A. Heinlein,,,Invalid Length (not 10 or 13 after cleaning)
No Rest for the Wicked,Kresley Cole (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Jubal's Field Trip To Heaven: Jubal and Chanan Enter Through the Narrow Gate (Jubal's Divine Adventures #1),Ginger Baum,'B07RK1ZQL6,0716,Invalid Length (not 10 or 13 after cleaning)
Flat-Out Love,Jessica Park (Goodreads Author),'B008DZTE60,00860,Invalid Length (not 10 or 13 after cleaning)
Tail of the Devil,Danielle DeVor (Goodreads Author),'B00CJHO7D8,0078,Invalid Length (not 10 or 13 after cleaning)
An Elephant Is On My House: And Other Poems,Othen Donald Dale Cummings (Goodreads Author),'B00J9VBI9I,0099,Invalid Length (not 10 or 13 after cleaning)
Evil Among Us,J.K. Accinni,'B00CVB4RD2,0042,Invalid Length (not 10 or 13 after cleaning)
Mercy,Lucian Bane (Goodreads Author),'B00VARSN7Y,007,Invalid Length (not 10 or 13 after cleaning)
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Primed For Revenge,Carolyn M. Bowen (Goodreads Author),'B07ND3CFXM,073,Invalid Length (not 10 or 13 after cleaning)
A House Without Windows,Stevie Turner (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Altered Carbon,Richard K. Morgan,'B000FBFMZ2,0002,Invalid Length (not 10 or 13 after cleaning)
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,,,Invalid Length (not 10 or 13 after cleaning)
Tipping the Velvet,Sarah Waters,,,Invalid Length (not 10 or 13 after cleaning)
Squire,Tamora Pierce (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Chronicle of Sapta Sindhu,Aporva Kala (Goodreads Author),'B00AGUR6FG,006,Invalid Length (not 10 or 13 after cleaning)
Lodestar,Shannon Messenger (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Pachinko,Min Jin Lee,,,Invalid Length (not 10 or 13 after cleaning)
Ordinary People,Judith Guest,,,Invalid Length (not 10 or 13 after cleaning)
The Secret of the Nagas,Amish Tripathi (Goodreads Author),'B008593PQO,008593,Invalid Length (not 10 or 13 after cleaning)
Undeniable,Madeline Sheehan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Hating Game,Sally Thorne (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
UnEnchanted,Chanda Hahn (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Sweet Dreams,Kristen Ashley (Goodreads Author),'B004XTTSG6,0046,Invalid Length (not 10 or 13 after cleaning)
A Merciful Secret,Kendra Elliot (Goodreads Author),'B06Y5MTNMQ,065,Invalid Length (not 10 or 13 after cleaning)
Slow Brewing Tea,Randy Loubier (Goodreads Author),'B08CTPV2J9,0829,Invalid Length (not 10 or 13 after cleaning)
Forever Too Far,Abbi Glines (Goodreads Author),'B00DAHSFYI,00,Invalid Length (not 10 or 13 after cleaning)
Mystical Trash,Mary Ramsey (Goodreads Author),'B082PXVRTP,082,Invalid Length (not 10 or 13 after cleaning)
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Vain,Fisher Amelie (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Witch & Wizard,"James Patterson (Goodreads Author), Gabrielle Charbonnet, Emily Raymond",,,Invalid Length (not 10 or 13 after cleaning)
Ordeal,Tatyana K. Varenko (Goodreads Author),'B0038BQIE0,00380,Invalid Length (not 10 or 13 after cleaning)
The Nanny Song,Misty Mount (Goodreads Author),'B07D1CQF66,07166,Invalid Length (not 10 or 13 after cleaning)
I Dream of Yellow Kites,Retta Bono (Goodreads Author) (Editor),'B01D3V68GW,01368,Invalid Length (not 10 or 13 after cleaning)
The First Fifteen Lives of Harry August,Claire North,'B00ECE9OD4,0094,Invalid Length (not 10 or 13 after cleaning)
The Devil's Deceptions: Is There Life After Death?,Ginger Baum,'B07QJ83Y1B,07831,Invalid Length (not 10 or 13 after cleaning)
