title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
Villette,"Charlotte Brontë, Ignes Sodre (Introduction), A.S. Byatt (Introduction)",,,Invalid Length (not 10 or 13 after cleaning)
Magic Bites,Ilona Andrews (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"Missing Wings: Chronicles of the Aranysargas (Aranysargas, #1)",Andrea Luhman (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Wait for You,Jennifer L. Armentrout (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
El Diablo,M. Robinson,,,Invalid Length (not 10 or 13 after cleaning)
"America's Daughter (Dancing Soul Trilogy, #2)",Maria Nhambu (Goodreads Author),'B074SW7R4K,07474,Invalid Length (not 10 or 13 after cleaning)
Naked in Death,J.D. Robb (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Broken Promises (Past Imperfect Mystery Book 1),Anne Willow (Goodreads Author),'B07D25X94W,072594,Invalid Length (not 10 or 13 after cleaning)
Rapture,Lauren Kate (Goodreads Author),'B005OCYQDQ,005,Invalid Length (not 10 or 13 after cleaning)
Three Men in a Boat,Jerome K. Jerome,,,Invalid Length (not 10 or 13 after cleaning)
It Ends with Us,Colleen Hoover (Goodreads Author),'B0176M3U10,0176310,Invalid Length (not 10 or 13 after cleaning)
Cheaper by the Dozen,"Frank B. Gilbreth Jr., Ernestine Gilbreth Carey",'B00FTOANM2,002,Invalid Length (not 10 or 13 after cleaning)
New Moon,Stephenie Meyer,,,Invalid Length (not 10 or 13 after cleaning)
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,Jonas Jonasson,'B007MB5OCE,0075,Invalid Length (not 10 or 13 after cleaning)
Solaris,"Stanisław Lem, Joanna Kilmartin (Translator), Steve Cox (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
The Dharma Bums,Jack Kerouac,,,Invalid Length (not 10 or 13 after cleaning)
Mere Christianity,C.S. Lewis,'B07F799QGM,07799,Invalid Length (not 10 or 13 after cleaning)
Old Man's War,John Scalzi (Goodreads Author),'B000SEIK2S,0002,Invalid Length (not 10 or 13 after cleaning)
Vicious,V.E. Schwab,'B00CQY7WBI,007,Invalid Length (not 10 or 13 after cleaning)
The Cruel Prince,Holly Black (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Life As We Knew It,Susan Beth Pfeffer,,,Invalid Length (not 10 or 13 after cleaning)
A Voice in the Wind,"Francine Rivers (Goodreads Author), Richard Ferrone (Narrator)",,,Invalid Length (not 10 or 13 after cleaning)
Centennial,James A. Michener,,,Invalid Length (not 10 or 13 after cleaning)
Demons,"Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Unparalleled,D.S. Smith (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Opportunist,Tarryn Fisher (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Complicate Me,M. Robinson,'B015BUC1YG,0151,Invalid Length (not 10 or 13 after cleaning)
The Shadow Girl,Misty Mount (Goodreads Author),'B078PQ9FPN,0789,Invalid Length (not 10 or 13 after cleaning)
Midwives,Chris Bohjalian (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Last Wish,"Andrzej Sapkowski, Danusia Stok (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
For the Love of Armin,Michael G. Kramer (Goodreads Author),'B0728LK7JC,07287,Invalid Length (not 10 or 13 after cleaning)
People of the Book,Geraldine Brooks (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Heir,Kiera Cass (Goodreads Author),'B00MFYCZ2U,002,Invalid Length (not 10 or 13 after cleaning)
Royal Assassin,Robin Hobb (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Lola and the Boy Next Door,Stephanie Perkins (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Complete Stories,"Flannery O'Connor, Robert Giroux (Introduction)",,,Invalid Length (not 10 or 13 after cleaning)
Martin Eden,"Jack London, Andrew Sinclair (Introduction)",,,Invalid Length (not 10 or 13 after cleaning)
Nobody Loves a Bigfoot Like a Bigfoot Babe,Simon Okill (Goodreads Author),'B00AAL9UB4,0094,Invalid Length (not 10 or 13 after cleaning)
Switch! The Lost Kingdoms of Karibu,Karen Prince (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Surgeon,Tess Gerritsen (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Bossypants,Tina Fey,,,Invalid Length (not 10 or 13 after cleaning)
I Am Legend,Richard Matheson,'B00514HDNW,00514,Invalid Length (not 10 or 13 after cleaning)
